46145,0,2007,3,PONTIAC,SILVER,AUTO,1,Alloy,AMERICAN,MEDIUM,GM,MO,0
24754,0,2007,3,CHEVROLET,WHITE,MANUAL,2,Covers,AMERICAN,COMPACT,GM,FL,0
68115,1,2006,3,CHEVROLET,WHITE,AUTO,NULL,NULL,AMERICAN,MEDIUM SUV,GM,CO,0
35113,0,2006,4,JEEP,WHITE,AUTO,1,Alloy,AMERICAN,LARGE SUV,CHRYSLER,FL,0
24502,0,2005,5,CHEVROLET,GOLD,AUTO,1,Alloy,AMERICAN,COMPACT,GM,SC,0
26647,0,2007,2,DODGE,SILVER,AUTO,2,Covers,AMERICAN,MEDIUM,CHRYSLER,TX,0
14449,0,2005,4,MITSUBISHI,SILVER,AUTO,2,Covers,OTHER ASIAN,MEDIUM,OTHER,SC,0
45023,0,2005,4,SUZUKI,BLACK,AUTO,2,Covers,OTHER ASIAN,MEDIUM,OTHER,AL,0
21431,0,2006,4,DODGE,SILVER,AUTO,2,Covers,AMERICAN,MEDIUM,CHRYSLER,CA,0
36943,0,2006,4,CHEVROLET,WHITE,AUTO,2,Covers,AMERICAN,MEDIUM,GM,TX,0
41838,0,2004,6,HONDA,SILVER,AUTO,2,Covers,TOP LINE ASIAN,MEDIUM,OTHER,FL,0
66006,0,2006,3,SATURN,SILVER,AUTO,2,Covers,AMERICAN,MEDIUM,GM,NC,0
62094,0,2006,4,PONTIAC,GOLD,AUTO,1,Alloy,AMERICAN,LARGE,GM,CA,0
47164,0,2006,3,CHRYSLER,SILVER,AUTO,1,Alloy,AMERICAN,MEDIUM,CHRYSLER,TX,0
34494,0,2007,3,FORD,WHITE,AUTO,1,Alloy,AMERICAN,LARGE,FORD,CO,0
69292,0,2006,3,MITSUBISHI,SILVER,AUTO,2,Covers,OTHER ASIAN,MEDIUM,OTHER,CA,0
2711,0,2005,4,PONTIAC,GREY,AUTO,2,Covers,AMERICAN,LARGE,GM,AL,0
51632,0,2006,3,DODGE,BLUE,AUTO,1,Alloy,AMERICAN,VAN,CHRYSLER,CO,0
19296,0,2006,3,CHEVROLET,PURPLE,AUTO,1,Alloy,AMERICAN,MEDIUM,GM,CA,0
